HDI,EDG,CO2,GDP
0.492,5.241874085,0.288852865,0.096719296
0.503,3.002826319,0.289598328,0.140631004
0.514,4.278421592,0.298227163,0.141383685
0.526,3.30869624,0.34063114,0.185187122
0.536,3.037396345,0.368026206,0.224637095
0.55,2.858428558,0.425723683,0.281133604
0.56,2.898694137,0.467447103,0.32900119
0.571,2.367642873,0.536992508,0.35293444
0.58,1.388199601,0.589586791,0.352783068
0.589,2.660913439,0.594093627,0.367156884
0.599,5.498782572,0.648189364,0.394583137
0.609,4.541235155,0.710648707,0.409497734
0.619,3.886773296,0.824577094,0.434810292
0.628,3.99345504,0.870242185,0.485450908
0.637,6.532138902,1.033295251,0.551903505
0.645,7.020997802,1.110972727,0.693189843
0.653,6.590545921,1.130049624,0.790592516
0.66,4.92668946,1.240379726,0.913312332
0.665,4.92381132,1.373701986,1.158101627
0.671,2.331800913,1.529666152,1.225845009
0.676,3.017198201,1.732201659,1.684011772
0.681,3.584669266,1.765420021,1.95355715
0.682,3.388378089,1.741550848,2.19023244
0.687,2.630276386,1.820112056,2.367499331
0.69,2.274176541,1.980575457,2.558778758
0.697,1.210682625,2.185814559,2.595234844
0.702,0.823144597,2.384159513,2.760717101
0.706,0.894842114,2.444644781,2.992071532
0.711,1.130380149,3.014711266,3.267225069
0.717,0.774036159,3.567848369,3.49109141
0.726,0.436548389,3.676440088,3.586347176
